ParameterID,IARCgroup,IARCvolume,dateListed
568,3,"39, Sup 7, 71",1999
570,3,"41, Sup 7, 71",1999
572,3,"Sup 7, 60",1994
573,2A,"7, Sup 7,  71",1999
576,3,73,1999
595,2B,82,2002
602,2B,"Sup 7, 49",1990
609,2B,65,1996
611,2B,"30, Sup 7",1987
616,2B,"Sup 7, 73",1999
620,1,"Sup 7, 77, 99, 100F",2012
634,1,"24, Sup 7, 100A",2012
635,3,"Sup 7, 92",2010
637,2B,"Sup 7, 79",2001
638,3,"47, 71",1999
654,3,53,1991
671,3,"12, Sup 7",1987
675,2B,"Sup 7, 79",2001
678,3,"Sup 7, 92",2010
679,3,77,2000
687,3,"15, Sup 7, 71",1999
689,2B,"10, Sup 7",1987
703,3,65,1996
705,3,"47, 71",1999
730,1,100F,2012
743,2B,"Sup 7, 79",2001
749,2B,"8, Sup 7",1987
769,3,"5, Sup 7",1987
772,2A,"11, Sup 7, 71",1999
776,1,"96, 100E",2012
780,2B,"39, Sup 7, 71",1999
782,2A,"7, Sup 7, 96",2010
785,2B,"7, Sup 7",1987
788,2B,77,2000
790,3,"Sup 7, 60",1994
792,1,"Sup 7, 60, 97, 100F",2012
812,1,113,In prep.
817,2B,"Sup 7, 53, 79",2001
820,2B,"Sup 7, 79",2001
821,3,73,1999
823,2B,73,1999
824,3,"20, Sup 7",1987
827,2B,"15, Sup 7, 71",1999
841,3,54,1992
845,3,"15, Sup 7, 71",1999
850,2B,"Sup 7, 92",2010
856,2A,"Sup 7, 71, 110",2016 online
860,3,"12, Sup 7",1987
864,2B,"20, Sup 7",1987
869,3,"Sup 7, 53",1991
892,2B,"17, Sup 7",1987
893,2B,"17, Sup 7",1987
894,2A,"17, Sup 7",1987
895,2A,"17, Sup 7",1987
896,3,"27, Sup 7",1987
897,2B,"17, Sup 7",1987
898,2B,"17, Sup 7",1987
899,2B,"17, Sup 7",1987
900,2B,"17, Sup 7",1987
912,3,"15, Sup 7, 71",1999
913,2B,"27, Sup 7",1987
917,2B,"30, Sup 7, 112",2017 online
919,3,"30, Sup 7",1987
942,1,100F,2012
943,1,100F,2012
944,1,100F,2012
945,1,100F,2012
946,1,100F,2012
947,1,100F,2012
951,3,"41, Sup 7, 71",1999
