ParameterID,Classification
301080,Polychlorinated Biphenyl
301081,Polychlorinated Biphenyl
301082,Polychlorinated Biphenyl
301083,Polychlorinated Biphenyl
301084,Polychlorinated Biphenyl
301085,Polychlorinated Biphenyl
301086,Polychlorinated Biphenyl
301087,Polychlorinated Biphenyl
301088,Polychlorinated Biphenyl
301089,Polychlorinated Biphenyl
301090,Polychlorinated Biphenyl
301091,Polychlorinated Biphenyl
301092,Polychlorinated Biphenyl
301093,Polycyclic Aromatic Hydrocarbon (PAH)
301094,Pesticide
301095,Chemicals in Commerce
301096,Chemicals in Commerce
301097,Pesticide
301098,Chemicals in Commerce
301099,Pesticide
301100,Pesticide
301101,Chemicals in Commerce
301102,Pesticide
301103,Pesticide
301104,Pesticide
301105,Pesticide
301106,Pharmacological
301107,Pesticide
301108,Pesticide
301109,Pesticide
301110,Pesticide
301111,Pesticide
301112,Pesticide
301113,Pesticide
301114,Personal Care
301115,Pesticide
301116,Pesticide
301117,Pesticide
301118,Pharmacological
301119,Pesticide
301120,Pesticide
301121,Pesticide
301122,Pesticide
301123,Pesticide
301124,Pesticide
301125,Pesticide
301126,Pesticide
301127,Pesticide
301128,Pesticide
301129,Pesticide
301130,Pesticide
301131,Pesticide
301132,Pesticide
301133,Pesticide
301134,Personal Care
301135,Pesticide
301136,Pesticide
301137,Pesticide
301138,Pesticide
301139,Pesticide
301140,Pesticide
301141,Pesticide
301142,Pesticide
301143,Pesticide
301144,Pesticide
301145,Pesticide
301146,Pesticide
301147,Pesticide
301148,Pesticide
301149,Pesticide
301150,Pesticide
301151,Pesticide
301152,Pesticide
301153,Pesticide
301154,Pesticide
301155,Pesticide
301156,Pesticide
301158,Pesticide
301159,Pesticide
301160,Pesticide
301161,Pesticide
301162,Pesticide
301163,Pesticide
301164,Pesticide
301165,Pesticide
301166,Pharmacological
301167,Pesticide
301168,Pesticide
301169,Pesticide
301170,Pesticide
301171,Pesticide
301172,Pesticide
301173,Pesticide
301174,Pesticide
301175,Pesticide
301176,Pesticide
301177,Pesticide
301178,Pesticide
301179,Pesticide
301182,Pesticide
301183,Pesticide
301184,Pesticide
301185,Pesticide
301186,Pesticide
301187,Pesticide
